Code (fortlaufende Kennzeichnung);Monat;Jahr;Codierendenkennung;Zeitschrift;Ressort (falls zutreffend);Titel Artikel;Art des Artikels (Interview, Reportage, Kommentar etc.);"Relevant für KI (0 Nein, 1 Ja; KI, AI, Algorithmen, Machine Learning)";Haupt-/Nebenthema (1 = Haupt, 2 = Neben);KI-Thema (KI, Machine Learning, Neuronale Netzwerke);KI-Thema 2;KI-Thema 3;Allgemeines Bezugsthema (Musikproduktion, Musikvertrieb, Forschung);Akteure (Vor- und Zuname bzw. Nickname);Akteure (Vor- und Zuname bzw. Nickname);Akteure (Vor- und Zuname bzw. Nickname);Beteiligte Unternehmen;Beteiligte Unternehmen;Beteiligte Unternehmen;Ausrichtung (KI-ablehnend -2, KI-kritisch -1, neutral 0, KI-optimistisch 1, KI-befürwortend 2);Benutzungsfreundlichkeit (TAM) (-1 nicht freundlich, 0 neutral, +1 freundlich,  nicht gegeben);Nutzen (TAM) (-1 nicht nützlich, 0 neutral, +1 nützlich,  nicht gegeben);Unterhaltungswert (TAM) (-1 nicht unterhaltsam, 0 neutral, +1 unterhaltsam,  nicht gegeben)
1;3;2022;LW;Musikwoche;Live;Digitale Horizonterweiterung;Beitrag;1;2;KI;;;Forschung;;;;Future Demand;;;0;;;
2;3;2022;LW;Musikwoche;Dossier;Branche ist offen für neue Technologien;Beitrag;1;2;KI;Algorithmen;;Ticketvertrieb;;;;Future Demand;;;2;1;1;0
3;6;2022;LW;Musikwoche;Recorded & Publishing;Songtradr übernimmt Musicube;Beitrag;1;2;KI;neuronale Netze;;Musikvertrieb;;;;Songtradr;musicube;;1;1;1;
4;10;2021;LW;Musikwoche;News;musicube zieht Finanzspritze auf ;Meldung;1;2;KI;;;Musikvertrieb;David Hoga;Holger Hübner;Agnes Chung;musicube;Next Media Accelerator;;1;1;1;
5;10;2021;LW;Musikwoche;News;Beethoven Orchester Bonn;Meldung;1;1;KI;AI;;Musikproduktion;Dirk Kaftan;;;Beethoven Orchester Bonn;Modern Recordings /BMG;;0;;;0
6;11;2022;LW;Musikwoche;Die Woche;Claudia Roth setzte sich für Kreative ein;Meldung;1;2;KI;;;Urheberrecht;Claudia Roth;;;;;;0;;;
7;12;2022;LW;Musikwoche;k.A.;Vier Start-Ups bewegen sich;Beitrag;1;2;KI;;;Musikmanagement;;;;connactz;WorkX Incubator;;1;;1;
8;11;2022;LW;Sound & Recording;Stories;Audio Watermarking verursacht teils hörbare Artefakte;Beitrag;1;1;Algorithmen;;;Musikproduktion;Matt Montag;;;YouTube Music;Spotify;Google;-1;-1;-1;
9;12;2022;LW;Sound & Recording;Stories;Das neue Stereo – Dolby Atmos auf dem Vormarsch;Beitrag;1;1;Algorithmen;;;Audio;;;;Dolby Atmos;;;1;1;1;1
10;3;2021;LW;NMZ;k.A.;Aufbruch in eine vielfältige Zukunft;Beitrag;1;2;Algorithmen;Artificial Intelligence;Machine Learning;Forschung;;;;Hochschule für Musik und Darstellende Kunst Mannheim;;;1;;1;
11;3;2021;LW;NMZ;k.A.;Aufbruchstimmung und Begeisterung für neue Musik;Interview;1;2;KI;;;Musikproduktion;Peter Florian;;;;;;-1;;;
12;5;2021;LW;NMZ;k.A.;Digitalität und Künstliche Intelligenz;Beitrag;1;2;KI;;;Forschung;;;;HfM Trossingen;;;2;;1;
13;6;2021;LW;NMZ;k.A.;Ein Duett mit dem Geist in der Maschine;Beitrag;1;2;KI;;;Forschung;;;;Technischen Hochschule Nürnberg;Hochschule für Musik Nürnberg;;2;;1;1
14;8;2021;LW;NMZ;k.A.;Ein sensibles, ein schwieriges Kapitel;Interview;1;2;Algorithmen;;;Urheberrecht;Moritz Eggert;Julia Reda;;;;;-2;;-1;
15;8;2021;LW;NMZ;k.A.;Gute Nacht;Kommentar;1;1;Algorithmen;;;Spielplanerstellung;;;;;;;-1;;;
16;12;2021;LW;NMZ;k.A.;Hervorragendes Innovationspotenzial;;1;2;KI;;;Forschung;;;;Hochschule für Musik Nürnberg;;;1;;;
17;12;2021;LW;NMZ;k.A.;KI Service und Systeme – KISS;Beitrag;1;1;KI;Cognitive Robotics;;Forschung;;;;HfM Trossingen;;;2;;1;
18;1;2022;LW;NMZ;k.A.;Künstliche Intelligenz in der Musikvermittlung;Interview;1;2;KI;;;Forschung;Karl-Heinz Simon;;;Hochschule für Musik in Dresden;;;-1;;1;
19;5;2022;LW;NMZ;k.A.;Mit Don Quixote in eine hybride Zukunft;Beitrag;1;2;KI;;;Musikproduktion;;;;;;;0;;;0
20;5;2022;LW;NMZ;k.A.;Unterrichten in Zeiten von Corona;Beitrag;1;2;KI;;;Musikproduktion;Moritz Eggert;;;;;;-2;;-1;0
21;10;2022;LW;NMZ;k.A.;Wenn die Flucht zur tödlichen Falle wird;Kritik;1;2;KI;;;Musikproduktion;;;;Theater Freiburg;;;0;;;1
22;7;2021;LW;Groove;k.A.;Adi Gelbart & Kammerensemble: Videopremiere von „Alpha’s 7th Poem”;Kritik;1;1;KI;;;Musikproduktion;Adi Gelbart;;;Kammerensemble KNM Berlin;;;1;;;1
